Student_Name,Age,Gender,Course,Attendance,Assignment_Score,Midterm_Score,Final_Score
Ali Raza,21.0,Male,Computer Science,64.0,82.0,90,40.0
Ayesha Khan,19.0,Female,Data Science,72.0,50.0,53,22.0
Bilal Ahmed,23.0,Male,Computer Science,51.0,63.0,59,57.0
Fatima Malik,19.0,Female,Artificial Intelligence,,72.0,87,41.0
Hamza Sheikh,22.0,Male,Artificial Intelligence,74.0,88.0,88,61.0
Sana Iqbal,21.0,Female,Artificial Intelligence,65.0,54.0,91,81.0
Usman Tariq,23.0,Male,Data Science,93.0,94.0,93,22.0
Zainab Hussain,22.0,Female,Data Science,56.0,,68,37.0
Ahmed Butt,21.0,Male,Computer Science,63.0,89.0,38,72.0
Mahnoor Shah,19.0,Female,Artificial Intelligence,77.0,86.0,89,90.0
Hassan Javed,21.0,Male,Computer Science,150.0,86.0,64,97.0
Iqra Yousaf,18.0,Female,Artificial Intelligence,99.0,79.0,33,21.0
Kamran Aslam,23.0,Male,Software Engineering,91.0,43.0,83,82.0
Laiba Naveed,19.0,Female,Software Engineering,93.0,73.0,91,33.0
Moiz Anwar,23.0,Male,Data Science,89.0,60.0,82,43.0
Nimra Siddiqui,19.0,Female,Computer Science,,80.0,58,34.0
Omar Farooq,22.0,Male,Computer Science,74.0,46.0,38,20.0
Palwasha Khattak,21.0,Female,Artificial Intelligence,73.0,50.0,37,54.0
Qasim Mehmood,,Male,Computer Science,54.0,81.0,70,47.0
Rabia Saleem,18.0,Female,Artificial Intelligence,61.0,73.0,62,67.0
Saad Qureshi,23.0,Male,Artificial Intelligence,86.0,74.0,73,54.0
Tayyaba Rasheed,18.0,Female,Data Science,86.0,86.0,32,20.0
Umair Chaudhry,22.0,Male,Software Engineering,63.0,78.0,56,
Warda Ilyas,19.0,Female,Software Engineering,62.0,90.0,92,71.0
Yasir Nawaz,22.0,Male,Artificial Intelligence,53.0,69.0,52,34.0
Zoya Baig,20.0,Female,Computer Science,85.0,52.0,61,90.0
Danish Akhtar,20.0,Male,Data Science,71.0,67.0,95,61.0
Eman Fatima,22.0,Female,Software Engineering,55.0,67.0,57,63.0
Faizan Riaz,21.0,Male,Software Engineering,60.0,97.0,91,20.0
Ghazala Parveen,18.0,Female,Data Science,62.0,80.0,32,89.0
